id	name	values
CHN	China	null
IND	India	null
USA	United States	null
IDN	Indonesia	null
BRA	Brazil	null
PAK	Pakistan	null
BGD	Bangladesh	null
NGA	Nigeria	null
RUS	Russia	null
JPN	Japan	null
MEX	Mexico	null
PHL	Philippines	null
VNM	Vietnam	null
ETH	Ethiopia	null
DEU	Germany	-55367
EGY	Egypt	null
TUR	Turkey	-603
COD	Congo, Democratic Republic of the	null
IRN	Iran	null
THA	Thailand	null
FRA	France	-40236
GBR	United Kingdom	16391
ITA	Italy	null
MMR	Burma	null
ZAF	South Africa	null
KOR	Korea, South	null
UKR	Ukraine	null
COL	Colombia	null
SDN	Sudan	null
TZA	Tanzania	null
ARG	Argentina	null
ESP	Spain	9171
KEN	Kenya	null
POL	Poland	2287
DZA	Algeria	null
CAN	Canada	null
UGA	Uganda	null
MAR	Morocco	null
PER	Peru	null
IRQ	Iraq	null
SAU	Saudi Arabia	null
AFG	Afghanistan	null
NPL	Nepal	null
UZB	Uzbekistan	null
VEN	Venezuela	null
MYS	Malaysia	null
GHA	Ghana	null
YEM	Yemen	null
TWN	Taiwan	null
PRK	Korea, North	null
SYR	Syria	null
ROU	Romania	-2895
MOZ	Mozambique	null
AUS	Australia	null
LKA	Sri Lanka	null
MDG	Madagascar	null
CIV	Cote d'Ivoire	null
CMR	Cameroon	null
NLD	Netherlands	null
CHL	Chile	null
BFA	Burkina Faso	null
NER	Niger	null
KAZ	Kazakhstan	null
MWI	Malawi	null
ECU	Ecuador	null
KHM	Cambodia	null
SEN	Senegal	null
MLI	Mali	null
GTM	Guatemala	null
AGO	Angola	null
ZMB	Zambia	null
ZWE	Zimbabwe	null
CUB	Cuba	null
RWA	Rwanda	null
GRC	Greece	6225
PRT	Portugal	-2683
TUN	Tunisia	null
TCD	Chad	null
BEL	Belgium	6028
GIN	Guinea	null
CZE	Czech Republic	-13030
SOM	Somalia	null
BOL	Bolivia	null
HUN	Hungary	12877
BDI	Burundi	null
DOM	Dominican Republic	null
BLR	Belarus	null
HTI	Haiti	null
SWE	Sweden	-19151
BEN	Benin	null
